Date,Mean Rate (lower is better),Mean Score(higher is better),Group Size,Group Label
1/1/15,14.65,2.82,168,A
1/15/15,12.64,2.91,193,C
2/1/15,15,2.81,122,B
2/15/15,19.02,2.58,173,A
3/1/15,13.83,2.68,201,C
3/15/15,10.78,2.97,107,B
4/1/15,15.15,2.68,182,A
4/15/15,16.42,2.69,213,C
5/1/15,15.96,2.69,102,B
5/15/15,18.29,2.68,171,A
6/1/15,16.93,2.55,196,C
6/15/15,20.41,2.43,110,B
7/1/15,12.57,2.68,181,A
7/15/15,13.53,2.73,186,C
8/1/15,20.69,2.57,122,B
8/15/15,13.53,2.8,182,A
9/1/15,14.63,2.72,178,C
9/15/15,13.41,2.7,85,B
10/1/15,12.67,2.8,157,A
10/15/15,16.06,2.6,147,C
11/1/15,20.51,2.43,80,B
