from,to,weight,type
c01,c22,12,suggestion
c01,c13,20,suggestion
c02,c22,21,requirement
c05,c18,13,suggestion
c06,c07,22,requirement
c06,c17,21,suggestion
c07,c17,11,suggestion
c07,c05,21,requirement
c07,c09,10,suggestion
c07,c03,15,suggestion
c08,c11,11,suggestion
c08,c12,11,suggestion
c08,c14,21,suggestion
c08,c15,23,suggestion
c08,c16,21,suggestion
c08,c17,21,suggestion
c10,c22,11,suggestion
c11,c04,22,suggestion
c11,c12,21,suggestion
c13,c16,15,suggestion
c14,c15,12,suggestion
c15,c09,22,suggestion
c16,c17,22,suggestion
c17,c09,22,suggestion
c18,c01,10,suggestion
c19,c10,10,requirement
c20,c21,23,requirement
c21,c13,10,suggestion
c08,c03,18,suggestion
c08,c04,16,suggestion
