Hero,course,required.type,required.level,difficulty.grade
c01,Algorithms,3,Phd,20
c02,DataStructure,1,Undergraduate,10
c03,ComputerVision,2,Graduate,15
c04,DataVisualization,2,Graduate,15
c05,Mathematical_Methods_for_Computer_Science,1,Undergraduate,5
c06,Calculus_I,1,Undergraduate,5
c07,Calculus_II,2,Undergraduate,10
c08,Advanced_Programming,2,Undergraduate,10
c09,Theory_of_Computation,3,Phd,20
c10,Architectur_and_Hardware,3,Phd,15
c11,Data_Analytics,2,Graduate,15
c12,Fundamental_of_Large-scale_DataScience,2,Graduate,15
c13,Parallel_Algorithms,2,Graduate,15
c14,Information_Retrieval,2,Graduate,15
c15,TextMining_and_Analysis,2,Graduate,20
c16,Machine_Learning,2,Graduate,15
c17,Automated_Reasoning,2,Graduate,20
c18,Introduction_to_Algorithms,1,Undergraduate,10
c19,ComputerHardware_Fundamentals,1,Undergraduate,5
c20,ComputerSystem_Fundamental,1,Undergraduate,5
c21,Operating_Systems,1,Undergraduate,10
c22,Advanced_DataStructure,2,Graduate,15
